# (trac-stats debug output) #
# Fetching feed.. #
# Fetched feed.. #
# Parsing..  #
#########################
#        REPORT
#  (to plot with gnuplot)
# Number of created tickets: 258
# Number of closed tickets: 221
# Number of Wikipages edits fetched: 242
# Number of Changesets (commits) fetched: 820
# 
# Unknown: fromList [(2012-10-11,1)]
# date     ntickets_created     ntickets_closed          nwikis             ncommits             nothers
2012-09-15       0                    0                    0                    5                    0
2012-09-16       1                    0                    0                    10                    0
2012-09-17       6                    0                    5                    28                    0
2012-09-18       4                    4                    4                    19                    0
2012-09-19       2                    0                    0                    11                    0
2012-09-20       4                    0                    1                    19                    0
2012-09-21       3                    4                    2                    12                    0
2012-09-22       1                    1                    0                    7                    0
2012-09-23       3                    0                    8                    4                    0
2012-09-24       5                    2                    3                    8                    0
2012-09-25       1                    2                    2                    8                    0
2012-09-26       0                    3                    0                    12                    0
2012-09-27       1                    2                    2                    7                    0
2012-09-28       8                    0                    0                    8                    0
2012-09-29       1                    1                    0                    8                    0
2012-09-30       3                    0                    0                    0                    0
2012-10-01       3                    0                    0                    16                    0
2012-10-02       4                    5                    0                    11                    0
2012-10-03       3                    2                    2                    21                    0
2012-10-04       3                    0                    3                    15                    0
2012-10-05       4                    3                    1                    4                    0
2012-10-06       0                    0                    0                    1                    0
2012-10-07       0                    3                    0                    0                    0
2012-10-08       9                    3                    4                    12                    0
2012-10-09       5                    5                    0                    14                    0
2012-10-10       2                    2                    7                    2                    0
2012-10-11       1                    16                    4                    19                    1
2012-10-12       4                    6                    0                    7                    0
2012-10-13       4                    2                    0                    6                    0
2012-10-14       2                    3                    0                    12                    0
2012-10-15       4                    2                    3                    13                    0
2012-10-16       3                    2                    11                    8                    0
2012-10-17       6                    1                    2                    2                    0
2012-10-18       2                    1                    3                    8                    0
2012-10-19       4                    0                    1                    32                    0
2012-10-20       5                    1                    0                    0                    0
2012-10-21       2                    4                    0                    8                    0
2012-10-22       4                    9                    2                    7                    0
2012-10-23       3                    3                    0                    16                    0
2012-10-24       3                    2                    0                    13                    0
2012-10-25       1                    4                    0                    21                    0
2012-10-26       4                    3                    2                    10                    0
2012-10-27       0                    0                    3                    5                    0
2012-10-28       3                    0                    0                    3                    0
2012-10-29       2                    0                    0                    6                    0
2012-10-30       1                    1                    2                    21                    0
2012-10-31       2                    5                    5                    13                    0
2012-11-01       4                    0                    9                    24                    0
2012-11-02       6                    1                    8                    11                    0
2012-11-03       3                    1                    0                    0                    0
2012-11-04       2                    4                    0                    0                    0
2012-11-05       1                    4                    3                    6                    0
2012-11-06       0                    5                    4                    9                    0
2012-11-07       2                    1                    3                    6                    0
2012-11-08       3                    1                    1                    9                    0
2012-11-09       1                    0                    0                    0                    0
2012-11-10       2                    1                    1                    3                    0
2012-11-11       0                    0                    1                    4                    0
2012-11-12       3                    0                    0                    13                    0
2012-11-13       7                    2                    1                    20                    0
2012-11-14       3                    3                    0                    8                    0
2012-11-15       3                    3                    0                    3                    0
2012-11-16       2                    2                    1                    14                    0
2012-11-17       5                    3                    2                    2                    0
2012-11-18       1                    0                    0                    1                    0
2012-11-19       3                    4                    0                    4                    0
2012-11-20       5                    0                    0                    0                    0
2012-11-21       1                    3                    1                    4                    0
2012-11-22       4                    0                    0                    1                    0
2012-11-23       4                    6                    2                    16                    0
2012-11-24       5                    2                    26                    1                    0
2012-11-25       0                    0                    8                    2                    0
2012-11-26       3                    5                    2                    8                    0
2012-11-27       2                    1                    14                    2                    0
2012-11-28       4                    2                    1                    3                    0
2012-11-29       2                    29                    0                    24                    0
2012-11-30       5                    7                    4                    15                    0
2012-12-01       4                    2                    0                    8                    0
2012-12-02       2                    5                    2                    10                    0
2012-12-03       5                    0                    4                    4                    0
2012-12-04       4                    3                    0                    10                    0
2012-12-05       2                    0                    1                    16                    0
2012-12-06       5                    0                    1                    5                    0
2012-12-07       1                    6                    8                    24                    0
2012-12-08       3                    2                    5                    6                    0
2012-12-09       1                    1                    9                    1                    0
2012-12-10       3                    2                    0                    3                    0
2012-12-11       1                    1                    4                    8                    0
2012-12-12       0                    0                    6                    6                    0
2012-12-13       3                    1                    4                    7                    0
2012-12-14       2                    1                    24                    7                    0

